
Jul 10, 10:52:56.763    Make sure that your memory limit is increased, using at least 8GB is recommended to process the KaVE datasets...  (-Xmx8G)
Jul 10, 10:52:56.803    Current max. memory: 10.7 GB
looking (recursively) for events in folder /home/kitty/Desktop/uni/mp/java-cc-kave-examples-master/Events-170301-2
found 85 zips
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7018
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7101
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7114
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7135
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7168
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7169
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7170
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7171
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7173
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7174
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7180
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7325
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7401
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7468
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7484
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7485
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7487
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7488
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7537
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7558
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7559
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7560
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7567
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7568
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7569
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7570
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7719
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7736
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7737
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7738
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 7739
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 8242
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 8264
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 8265
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 8269
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 8270
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 8489
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 8499
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 8500
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 8501
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 8502
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9491
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9507
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9508
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9510
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9514
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9515
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9516
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9517
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9612
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9625
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 9626
10000
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 12527
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13154
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13186
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13234
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13235
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13237
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13238
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13241
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13242
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13254
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13259
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13411
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13547
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13556
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13557
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13558
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13559
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 13560
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 17237
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 17262
20000
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21515
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21580
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21600
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21601
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21603
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21613
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21614
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21615
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21616
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21617
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21668
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21681
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21682
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21683
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21684
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21685
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21738
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21793
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21794
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21796
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21803
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21810
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21811
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21815
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21816
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 21962
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22161
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22163
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22164
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22165
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22166
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22330
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22345
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22346
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22348
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22352
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22353
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22354
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22355
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 22356
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 24729
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 24742
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26223
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26230
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26231
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26252
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26278
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26279
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26286
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26287
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26288
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26289
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26714
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26737
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26738
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26739
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 26740
30000
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 31653
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 31654
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 31840
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 31983
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 32089
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 32121
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 32128
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 32129
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 32141
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 32142
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 32143
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 33080
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 33152
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34249
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34319
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34327
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34346
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34347
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34348
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34349
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34353
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34355
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34795
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 34959
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 35086
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 35177
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 35362
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 35385
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 36809
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 36846
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 36850
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 36865
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 36866
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 37057
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 37076
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 37077
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 38655
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 38949
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 38954
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39075
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39076
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39086
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39091
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39203
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39206
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39207
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39212
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39213
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39219
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39220
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39221
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39222
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39298
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39368
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39373
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39374
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39375
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39376
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39391
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39396
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39797
cc.kave.commons.model.events.visualstudio.SolutionEvent2016-06-14/10.zip : 39851
